Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/26/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,255.00,40.095600,1022437.80,9.55%,10703965.00,425000,17.000000000000,
09/26/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-272.00,43.238400,-1176084.48,-10.99%,10703965.00,425000,17.000000000000,
09/26/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-85.00,4.351200,-36985.20,-0.35%,10703965.00,425000,17.000000000000,
09/26/2023,APRD,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,242500.00,99.970792,242429.17,2.26%,10703965.00,425000,17.000000000000,
09/26/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,243000.00,98.620345,239647.44,2.24%,10703965.00,425000,17.000000000000,
09/26/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,10686300.00,97.391708,10407570.09,97.23%,10703965.00,425000,17.000000000000,
09/26/2023,APRD,Cash&Other,Cash&Other,Cash & Other,4720.00,1.000000,4720.00,0.04%,10703965.00,425000,17.000000000000,Y
09/26/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1346.00,19.878200,2675605.72,9.48%,28227037.50,1125000,45.000000000000,
09/26/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1391.00,21.238800,-2954317.08,-10.47%,28227037.50,1125000,45.000000000000,
09/26/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-223.00,2.131600,-47534.68,-0.17%,28227037.50,1125000,45.000000000000,
09/26/2023,APRH,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,546900.00,99.970792,546740.26,1.94%,28227037.50,1125000,45.000000000000,
09/26/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,548000.00,98.620345,540439.49,1.91%,28227037.50,1125000,45.000000000000,
09/26/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,28184200.00,97.391708,27449073.77,97.24%,28227037.50,1125000,45.000000000000,
09/26/2023,APRH,Cash&Other,Cash&Other,Cash & Other,16423.55,1.000000,16423.55,0.06%,28227037.50,1125000,45.000000000000,Y
09/26/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3768.00,10.555900,3977463.12,7.59%,52391640.00,2100000,84.000000000000,
09/26/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3852.00,11.227700,-4324910.04,-8.25%,52391640.00,2100000,84.000000000000,
09/26/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-416.00,1.127700,-46912.32,-0.09%,52391640.00,2100000,84.000000000000,
09/26/2023,APRJ,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,840000.00,99.970792,839754.65,1.60%,52391640.00,2100000,84.000000000000,
09/26/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,841700.00,98.620345,830087.44,1.58%,52391640.00,2100000,84.000000000000,
09/26/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,52427700.00,97.391708,51060232.50,97.46%,52391640.00,2100000,84.000000000000,
09/26/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,54802.65,1.000000,54802.65,0.10%,52391640.00,2100000,84.000000000000,Y
09/26/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3648.00,5.698300,2078739.84,5.49%,37865292.50,1525000,61.000000000000,
09/26/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3709.00,6.063000,-2248766.70,-5.94%,37865292.50,1525000,61.000000000000,
09/26/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-302.00,0.619200,-18699.84,-0.05%,37865292.50,1525000,61.000000000000,
09/26/2023,APRQ,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,514300.00,99.970792,514149.78,1.36%,37865292.50,1525000,61.000000000000,
09/26/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,515300.00,98.620345,508190.64,1.34%,37865292.50,1525000,61.000000000000,
09/26/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,37993400.00,97.391708,37002421.19,97.72%,37865292.50,1525000,61.000000000000,
09/26/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,28444.88,1.000000,28444.88,0.08%,37865292.50,1525000,61.000000000000,Y
09/26/2023,BALT,2SPY  230929C00001110,2SPY  230929C00001110,SPY 09/29/2023 1.11 C,9933.00,431.144700,428256030.51,97.48%,439339540.00,15800000,632.000000000000,
09/26/2023,BALT,2SPY  230929C00454630,2SPY  230929C00454630,SPY 09/29/2023 454.63 C,-9933.00,0.009100,-9039.03,0.00%,439339540.00,15800000,632.000000000000,
09/26/2023,BALT,2SPY  230929P00354620,2SPY  230929P00354620,SPY 09/29/2023 354.62 P,-9933.00,0.021000,-20859.30,0.00%,439339540.00,15800000,632.000000000000,
09/26/2023,BALT,2SPY  230929P00443280,2SPY  230929P00443280,SPY 09/29/2023 443.28 P,9933.00,10.868800,10795979.04,2.46%,439339540.00,15800000,632.000000000000,
09/26/2023,BALT,Cash&Other,Cash&Other,Cash & Other,309193.02,1.000000,309193.02,0.07%,439339540.00,15800000,632.000000000000,Y
09/26/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3619.00,425.168000,153868299.20,99.04%,155360920.00,4400000,176.000000000000,
09/26/2023,BAPR,2SPY  240328C00491840,2SPY  240328C00491840,SPY 03/28/2024 491.84 C,-3619.00,1.719300,-622214.67,-0.40%,155360920.00,4400000,176.000000000000,
09/26/2023,BAPR,2SPY  240328P00372540,2SPY  240328P00372540,SPY 03/28/2024 372.54 P,-3619.00,4.678000,-1692968.20,-1.09%,155360920.00,4400000,176.000000000000,
09/26/2023,BAPR,2SPY  240328P00409400,2SPY  240328P00409400,SPY 03/28/2024 409.4 P,3619.00,9.654300,3493891.17,2.25%,155360920.00,4400000,176.000000000000,
09/26/2023,BAPR,Cash&Other,Cash&Other,Cash & Other,310602.17,1.000000,310602.17,0.20%,155360920.00,4400000,176.000000000000,Y
09/26/2023,BAUG,2SPY  240731C00004590,2SPY  240731C00004590,SPY 07/31/2024 4.59 C,4319.00,423.030000,182706657.00,96.84%,188676725.00,5675000,227.000000000000,
09/26/2023,BAUG,2SPY  240731C00550950,2SPY  240731C00550950,SPY 07/31/2024 550.95 C,-4319.00,0.570000,-246183.00,-0.13%,188676725.00,5675000,227.000000000000,
09/26/2023,BAUG,2SPY  240731P00416590,2SPY  240731P00416590,SPY 07/31/2024 416.59 P,-4319.00,15.690000,-6776511.00,-3.59%,188676725.00,5675000,227.000000000000,
09/26/2023,BAUG,2SPY  240731P00457800,2SPY  240731P00457800,SPY 07/31/2024 457.8 P,4319.00,29.080000,12559652.00,6.66%,188676725.00,5675000,227.000000000000,
09/26/2023,BAUG,Cash&Other,Cash&Other,Cash & Other,429374.23,1.000000,429374.23,0.23%,188676725.00,5675000,227.000000000000,Y
09/26/2023,BDEC,2SPY  231130C00004090,2SPY  231130C00004090,SPY 11/30/2023 4.09 C,2295.00,428.216900,98275778.55,99.24%,99029560.00,2800000,112.000000000000,
09/26/2023,BDEC,2SPY  231130C00509600,2SPY  231130C00509600,SPY 11/30/2023 509.6 C,-2295.00,0.031500,-7229.25,-0.01%,99029560.00,2800000,112.000000000000,
09/26/2023,BDEC,2SPY  231130P00370990,2SPY  231130P00370990,SPY 11/30/2023 370.99 P,-2295.00,1.104800,-253551.60,-0.26%,99029560.00,2800000,112.000000000000,
09/26/2023,BDEC,2SPY  231130P00407690,2SPY  231130P00407690,SPY 11/30/2023 407.69 P,2295.00,3.629400,832947.30,0.84%,99029560.00,2800000,112.000000000000,
09/26/2023,BDEC,Cash&Other,Cash&Other,Cash & Other,179505.38,1.000000,179505.38,0.18%,99029560.00,2800000,112.000000000000,Y
09/26/2023,BFEB,2SPY  240131C00004080,2SPY  240131C00004080,SPY 01/31/2024 4.08 C,2310.00,426.511900,98524248.90,99.16%,99357770.00,2950000,118.000000000000,
09/26/2023,BFEB,2SPY  240131C00485660,2SPY  240131C00485660,SPY 01/31/2024 485.66 C,-2310.00,0.887700,-205058.70,-0.21%,99357770.00,2950000,118.000000000000,
09/26/2023,BFEB,2SPY  240131P00369900,2SPY  240131P00369900,SPY 01/31/2024 369.9 P,-2310.00,2.778700,-641879.70,-0.65%,99357770.00,2950000,118.000000000000,
09/26/2023,BFEB,2SPY  240131P00406490,2SPY  240131P00406490,SPY 01/31/2024 406.49 P,2310.00,6.557600,1514805.60,1.52%,99357770.00,2950000,118.000000000000,
09/26/2023,BFEB,Cash&Other,Cash&Other,Cash & Other,163535.68,1.000000,163535.68,0.16%,99357770.00,2950000,118.000000000000,Y
09/26/2023,BJAN,2SPY  231229C00003840,2SPY  231229C00003840,SPY 12/29/2023 3.84 C,3513.00,426.693400,149897391.42,99.62%,150470865.00,4050000,162.000000000000,
09/26/2023,BJAN,2SPY  231229C00478310,2SPY  231229C00478310,SPY 12/29/2023 478.31 C,-3513.00,0.632100,-222056.73,-0.15%,150470865.00,4050000,162.000000000000,
09/26/2023,BJAN,2SPY  231229P00348010,2SPY  231229P00348010,SPY 12/29/2023 348.01 P,-3513.00,1.122800,-394439.64,-0.26%,150470865.00,4050000,162.000000000000,
09/26/2023,BJAN,2SPY  231229P00382440,2SPY  231229P00382440,SPY 12/29/2023 382.44 P,3513.00,2.603800,914714.94,0.61%,150470865.00,4050000,162.000000000000,
09/26/2023,BJAN,Cash&Other,Cash&Other,Cash & Other,272068.87,1.000000,272068.87,0.18%,150470865.00,4050000,162.000000000000,Y
09/26/2023,BJUL,2SPY  240628C00004450,2SPY  240628C00004450,SPY 06/28/2024 4.45 C,7843.00,423.339000,332024777.70,97.52%,340465720.00,9800000,392.000000000000,
09/26/2023,BJUL,2SPY  240628C00528610,2SPY  240628C00528610,SPY 06/28/2024 528.61 C,-7843.00,0.918200,-720144.26,-0.21%,340465720.00,9800000,392.000000000000,
09/26/2023,BJUL,2SPY  240628P00403380,2SPY  240628P00403380,SPY 06/28/2024 403.38 P,-7843.00,11.882100,-9319131.03,-2.74%,340465720.00,9800000,392.000000000000,
09/26/2023,BJUL,2SPY  240628P00443290,2SPY  240628P00443290,SPY 06/28/2024 443.29 P,7843.00,22.626400,17745885.52,5.21%,340465720.00,9800000,392.000000000000,
09/26/2023,BJUL,Cash&Other,Cash&Other,Cash & Other,727123.02,1.000000,727123.02,0.21%,340465720.00,9800000,392.000000000000,Y
09/26/2023,BJUN,2SPY  240531C00004190,2SPY  240531C00004190,SPY 05/31/2024 4.19 C,2483.00,425.288500,105599134.55,98.88%,106797810.00,3225000,129.000000000000,
09/26/2023,BJUN,2SPY  240531C00501130,2SPY  240531C00501130,SPY 05/31/2024 501.13 C,-2483.00,2.586000,-642103.80,-0.60%,106797810.00,3225000,129.000000000000,
09/26/2023,BJUN,2SPY  240531P00380240,2SPY  240531P00380240,SPY 05/31/2024 380.24 P,-2483.00,7.046500,-1749645.95,-1.64%,106797810.00,3225000,129.000000000000,
09/26/2023,BJUN,2SPY  240531P00417860,2SPY  240531P00417860,SPY 05/31/2024 417.86 P,2483.00,13.518600,3356668.38,3.14%,106797810.00,3225000,129.000000000000,
09/26/2023,BJUN,Cash&Other,Cash&Other,Cash & Other,231487.21,1.000000,231487.21,0.22%,106797810.00,3225000,129.000000000000,Y
09/26/2023,BMAR,2SPY  240229C00003970,2SPY  240229C00003970,SPY 02/29/2024 3.97 C,2141.00,426.725700,91361972.37,99.65%,91683750.00,2500000,100.000000000000,
09/26/2023,BMAR,2SPY  240229C00480470,2SPY  240229C00480470,SPY 02/29/2024 480.47 C,-2141.00,2.366700,-506710.47,-0.55%,91683750.00,2500000,100.000000000000,
09/26/2023,BMAR,2SPY  240229P00360600,2SPY  240229P00360600,SPY 02/29/2024 360.6 P,-2141.00,2.960700,-633885.87,-0.69%,91683750.00,2500000,100.000000000000,
09/26/2023,BMAR,2SPY  240229P00396270,2SPY  240229P00396270,SPY 02/29/2024 396.27 P,2141.00,6.157700,1318363.57,1.44%,91683750.00,2500000,100.000000000000,
09/26/2023,BMAR,Cash&Other,Cash&Other,Cash & Other,142054.59,1.000000,142054.59,0.15%,91683750.00,2500000,100.000000000000,Y
09/26/2023,BMAY,2SPY  240430C00004170,2SPY  240430C00004170,SPY 04/30/2024 4.17 C,3083.00,425.208000,131091626.40,98.93%,132515857.50,4225000,169.000000000000,
09/26/2023,BMAY,2SPY  240430C00496870,2SPY  240430C00496870,SPY 04/30/2024 496.87 C,-3083.00,2.143300,-660779.39,-0.50%,132515857.50,4225000,169.000000000000,
09/26/2023,BMAY,2SPY  240430P00378500,2SPY  240430P00378500,SPY 04/30/2024 378.5 P,-3083.00,6.083000,-1875388.90,-1.42%,132515857.50,4225000,169.000000000000,
09/26/2023,BMAY,2SPY  240430P00415940,2SPY  240430P00415940,SPY 04/30/2024 415.94 P,3083.00,12.124500,3737983.35,2.82%,132515857.50,4225000,169.000000000000,
09/26/2023,BMAY,Cash&Other,Cash&Other,Cash & Other,219590.66,1.000000,219590.66,0.17%,132515857.50,4225000,169.000000000000,Y
09/26/2023,BNOV,2SPY  231031C00003870,2SPY  231031C00003870,SPY 10/31/2023 3.87 C,2024.00,428.394700,86707087.28,99.72%,86951025.00,2625000,105.000000000000,
09/26/2023,BNOV,2SPY  231031C00497010,2SPY  231031C00497010,SPY 10/31/2023 497.01 C,-2024.00,0.011800,-2388.32,0.00%,86951025.00,2625000,105.000000000000,
09/26/2023,BNOV,2SPY  231031P00351450,2SPY  231031P00351450,SPY 10/31/2023 351.45 P,-2024.00,0.262000,-53028.80,-0.06%,86951025.00,2625000,105.000000000000,
09/26/2023,BNOV,2SPY  231031P00386220,2SPY  231031P00386220,SPY 10/31/2023 386.22 P,2024.00,0.708400,143380.16,0.16%,86951025.00,2625000,105.000000000000,
09/26/2023,BNOV,Cash&Other,Cash&Other,Cash & Other,154122.53,1.000000,154122.53,0.18%,86951025.00,2625000,105.000000000000,Y
09/26/2023,BOCT,2SPY  230929C00003580,2SPY  230929C00003580,SPY 09/29/2023 3.58 C,3447.00,428.676200,147764686.14,99.82%,148024800.00,4125000,165.000000000000,
09/26/2023,BOCT,2SPY  230929C00458800,2SPY  230929C00458800,SPY 09/29/2023 458.8 C,-3447.00,0.006500,-2240.55,0.00%,148024800.00,4125000,165.000000000000,
09/26/2023,BOCT,2SPY  230929P00325030,2SPY  230929P00325030,SPY 09/29/2023 325.03 P,-3447.00,0.007300,-2516.31,0.00%,148024800.00,4125000,165.000000000000,
09/26/2023,BOCT,2SPY  230929P00357190,2SPY  230929P00357190,SPY 09/29/2023 357.19 P,3447.00,0.022800,7859.16,0.01%,148024800.00,4125000,165.000000000000,
09/26/2023,BOCT,Cash&Other,Cash&Other,Cash & Other,253850.19,1.000000,253850.19,0.17%,148024800.00,4125000,165.000000000000,Y
09/26/2023,BOUT,ABNB,009066101,AIRBNB INC,624.00,134.140000,83703.36,0.69%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,ACGL,G0450A105,ARCH CAP GROUP LTD,2632.00,81.150000,213586.80,1.76%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,AIG,026874784,AMERICAN INTL GROUP INC,11880.00,62.130000,738104.40,6.08%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,AMH,02665T306,AMERICAN HOMES 4 RENT,19904.00,34.210000,680915.84,5.61%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,AMP,03076C106,AMERIPRISE FINL INC,1200.00,335.670000,402804.00,3.32%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,ATVI,00507V109,ACTIVISION BLIZZARD INC,2264.00,94.050000,212929.20,1.75%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,CB,H1467J104,CHUBB LIMITED,416.00,212.230000,88287.68,0.73%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,CTAS,172908105,CINTAS CORP,808.00,505.520000,408460.16,3.36%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,DKNG,26142V105,DRAFTKINGS INC NEW,23424.00,27.360000,640880.64,5.28%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,DUOL,26603R106,DUOLINGO INC,2600.00,153.060000,397956.00,3.28%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,FANG,25278X109,DIAMONDBACK ENERGY INC,2664.00,152.640000,406632.96,3.35%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,HSBC,404280406,HSBC HLDGS PLC,15864.00,39.420000,625358.88,5.15%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,IBN,45104G104,ICICI BANK LIMITED,26080.00,22.980000,599318.40,4.93%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,JPM,46625H100,JPMORGAN CHASE & CO.,600.00,146.450000,87870.00,0.72%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,LPG,Y2106R110,DORIAN LPG LTD,7616.00,29.470000,224443.52,1.85%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,LPLA,50212V100,LPL FINL HLDGS INC,840.00,240.670000,202162.80,1.66%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,MANH,562750109,MANHATTAN ASSOCIATES INC,448.00,195.960000,87790.08,0.72%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,NBIX,64125C109,NEUROCRINE BIOSCIENCES INC,3696.00,113.680000,420161.28,3.46%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,NOW,81762P102,SERVICENOW INC,152.00,559.480000,85040.96,0.70%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,NTAP,64110D104,NETAPP INC,8016.00,75.510000,605288.16,4.98%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,NVS,66987V109,NOVARTIS AG,7080.00,101.810000,720814.80,5.93%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,OKTA,679295105,OKTA INC,7392.00,80.190000,592764.48,4.88%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,PANW,697435105,PALO ALTO NETWORKS INC,368.00,226.530000,83363.04,0.69%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,PGR,743315103,PROGRESSIVE CORP,5240.00,142.420000,746280.80,6.14%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,RSG,760759100,REPUBLIC SVCS INC,4152.00,146.350000,607645.20,5.00%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,SHEL,780259305,SHELL PLC,9640.00,64.710000,623804.40,5.14%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,TSLA,88160R101,TESLA INC,760.00,246.990000,187712.40,1.55%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,TTD,88339J105,THE TRADE DESK INC,2488.00,75.100000,186848.80,1.54%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,UBER,90353T100,UBER TECHNOLOGIES INC,15296.00,44.910000,686943.36,5.65%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,URBN,917047102,URBAN OUTFITTERS INC,12192.00,31.750000,387096.00,3.19%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,VERX,92538J106,VERTEX INC,4304.00,22.610000,97313.44,0.80%,12148040.00,400000,8.000000000000,
09/26/2023,BOUT,Cash&Other,Cash&Other,Cash & Other,15525.43,1.000000,15525.43,0.13%,12148040.00,400000,8.000000000000,Y
09/26/2023,BSEP,2SPY  240830C00004520,2SPY  240830C00004520,SPY 08/30/2024 4.52 C,4115.00,423.636900,174326584.35,97.37%,179034027.50,5275000,211.000000000000,
09/26/2023,BSEP,2SPY  240830C00539380,2SPY  240830C00539380,SPY 08/30/2024 539.38 C,-4115.00,1.340300,-551533.45,-0.31%,179034027.50,5275000,211.000000000000,
09/26/2023,BSEP,2SPY  240830P00409820,2SPY  240830P00409820,SPY 08/30/2024 409.82 P,-4115.00,14.881400,-6123696.10,-3.42%,179034027.50,5275000,211.000000000000,
09/26/2023,BSEP,2SPY  240830P00450360,2SPY  240830P00450360,SPY 08/30/2024 450.36 P,4115.00,26.555900,10927752.85,6.10%,179034027.50,5275000,211.000000000000,
09/26/2023,BSEP,Cash&Other,Cash&Other,Cash & Other,451143.38,1.000000,451143.38,0.25%,179034027.50,5275000,211.000000000000,Y
09/26/2023,BSTP,2SPY  240628C00004490,2SPY  240628C00004490,SPY 06/28/2024 4.49 C,953.00,423.300900,40340575.77,97.69%,41295410.00,1550000,62.000000000000,
09/26/2023,BSTP,2SPY  240628C00528830,2SPY  240628C00528830,SPY 06/28/2024 528.83 C,-953.00,0.909400,-86665.82,-0.21%,41295410.00,1550000,62.000000000000,
09/26/2023,BSTP,2SPY  240628P00403410,2SPY  240628P00403410,SPY 06/28/2024 403.41 P,-953.00,11.888000,-1132926.40,-2.74%,41295410.00,1550000,62.000000000000,
09/26/2023,BSTP,2SPY  240628P00443310,2SPY  240628P00443310,SPY 06/28/2024 443.31 P,953.00,22.633600,2156982.08,5.22%,41295410.00,1550000,62.000000000000,
