Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/03/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,254.00,43.370000,1101598.00,10.55%,10438892.50,425000,17.000000000000,
10/03/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-271.00,47.360000,-1283456.00,-12.29%,10438892.50,425000,17.000000000000,
10/03/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-84.00,4.700000,-39480.00,-0.38%,10438892.50,425000,17.000000000000,
10/03/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,243000.00,98.729111,239911.74,2.30%,10438892.50,425000,17.000000000000,
10/03/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,10686300.00,97.483056,10417331.81,99.79%,10438892.50,425000,17.000000000000,
10/03/2023,APRD,Cash&Other,Cash&Other,Cash & Other,2793.39,1.000000,2793.39,0.03%,10438892.50,425000,17.000000000000,Y
10/03/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1346.00,20.538000,2764414.80,9.99%,27678037.50,1125000,45.000000000000,
10/03/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1391.00,22.041400,-3065958.74,-11.08%,27678037.50,1125000,45.000000000000,
10/03/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-223.00,2.251200,-50201.76,-0.18%,27678037.50,1125000,45.000000000000,
10/03/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,548000.00,98.729111,541035.53,1.95%,27678037.50,1125000,45.000000000000,
10/03/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,28184200.00,97.483056,27474819.47,99.27%,27678037.50,1125000,45.000000000000,
10/03/2023,APRH,Cash&Other,Cash&Other,Cash & Other,13410.18,1.000000,13410.18,0.05%,27678037.50,1125000,45.000000000000,Y
10/03/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3765.00,10.690000,4024785.00,7.82%,51447060.00,2100000,84.000000000000,
10/03/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3849.00,11.740000,-4518726.00,-8.78%,51447060.00,2100000,84.000000000000,
10/03/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-415.00,1.150000,-47725.00,-0.09%,51447060.00,2100000,84.000000000000,
10/03/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,841700.00,98.729111,831002.93,1.62%,51447060.00,2100000,84.000000000000,
10/03/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,52427700.00,97.483056,51108124.15,99.34%,51447060.00,2100000,84.000000000000,
10/03/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,48598.99,1.000000,48598.99,0.09%,51447060.00,2100000,84.000000000000,Y
10/03/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3768.00,5.684400,2141881.92,5.55%,38608920.00,1575000,63.000000000000,
10/03/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3831.00,6.044800,-2315762.88,-6.00%,38608920.00,1575000,63.000000000000,
10/03/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-312.00,0.623100,-19440.72,-0.05%,38608920.00,1575000,63.000000000000,
10/03/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,531800.00,98.729111,525041.41,1.36%,38608920.00,1575000,63.000000000000,
10/03/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,39208500.00,97.483056,38221644.01,99.00%,38608920.00,1575000,63.000000000000,
10/03/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,54720.88,1.000000,54720.88,0.14%,38608920.00,1575000,63.000000000000,Y
10/03/2023,BALT,4SPY  231229C00001070,4SPY  231229C00001070,SPY 12/29/2023 1.07 C,10620.00,424.460000,450776520.00,99.48%,453113920.00,16300000,652.000000000000,
10/03/2023,BALT,4SPY  231229C00439490,4SPY  231229C00439490,SPY 12/29/2023 439.49 C,-10620.00,8.570000,-9101340.00,-2.01%,453113920.00,16300000,652.000000000000,
10/03/2023,BALT,4SPY  231229P00341980,4SPY  231229P00341980,SPY 12/29/2023 341.98 P,-10620.00,0.910000,-966420.00,-0.21%,453113920.00,16300000,652.000000000000,
10/03/2023,BALT,4SPY  231229P00427480,4SPY  231229P00427480,SPY 12/29/2023 427.48 P,10620.00,11.270000,11968740.00,2.64%,453113920.00,16300000,652.000000000000,
10/03/2023,BALT,Cash&Other,Cash&Other,Cash & Other,428646.69,1.000000,428646.69,0.09%,453113920.00,16300000,652.000000000000,Y
10/03/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3619.00,420.345200,152122927.88,98.77%,154010120.00,4400000,176.000000000000,
10/03/2023,BAPR,2SPY  240328C00491840,2SPY  240328C00491840,SPY 03/28/2024 491.84 C,-3619.00,1.287800,-466054.82,-0.30%,154010120.00,4400000,176.000000000000,
10/03/2023,BAPR,2SPY  240328P00372540,2SPY  240328P00372540,SPY 03/28/2024 372.54 P,-3619.00,5.089800,-1841998.62,-1.20%,154010120.00,4400000,176.000000000000,
10/03/2023,BAPR,2SPY  240328P00409400,2SPY  240328P00409400,SPY 03/28/2024 409.4 P,3619.00,10.788500,3904358.15,2.54%,154010120.00,4400000,176.000000000000,
10/03/2023,BAPR,Cash&Other,Cash&Other,Cash & Other,287610.00,1.000000,287610.00,0.19%,154010120.00,4400000,176.000000000000,Y
10/03/2023,BAUG,2SPY  240731C00004590,2SPY  240731C00004590,SPY 07/31/2024 4.59 C,4319.00,418.548400,180771053.96,96.54%,187259110.00,5675000,227.000000000000,
10/03/2023,BAUG,2SPY  240731C00550950,2SPY  240731C00550950,SPY 07/31/2024 550.95 C,-4319.00,0.528000,-228043.20,-0.12%,187259110.00,5675000,227.000000000000,
10/03/2023,BAUG,2SPY  240731P00416590,2SPY  240731P00416590,SPY 07/31/2024 416.59 P,-4319.00,17.020200,-7351024.38,-3.93%,187259110.00,5675000,227.000000000000,
10/03/2023,BAUG,2SPY  240731P00457800,2SPY  240731P00457800,SPY 07/31/2024 457.8 P,4319.00,31.630400,13661169.76,7.30%,187259110.00,5675000,227.000000000000,
10/03/2023,BAUG,Cash&Other,Cash&Other,Cash & Other,401976.31,1.000000,401976.31,0.21%,187259110.00,5675000,227.000000000000,Y
10/03/2023,BDEC,2SPY  231130C00004090,2SPY  231130C00004090,SPY 11/30/2023 4.09 C,2295.00,423.365500,97162382.25,99.11%,98033320.00,2800000,112.000000000000,
