Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
11/6/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,195,26.2644,512155.8,6.33%,8088242.5,325000,13,
11/6/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-208,28.6573,-596071.84,-7.37%,8088242.5,325000,13,
11/6/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-65,2.8694,-18651.1,-0.23%,8088242.5,325000,13,
11/6/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,185600,99.237213,184184.27,2.28%,8088242.5,325000,13,
11/6/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,8164100,98.007789,8001453.9,98.93%,8088242.5,325000,13,
11/6/2023,APRD,Cash&Other,Cash&Other,Cash & Other,4998.63,1,4998.63,0.06%,8088242.5,325000,13,Y
11/6/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1284,12.087,1551970.8,5.81%,26711492.5,1075000,43,
11/6/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1327,12.9682,-1720880.14,-6.44%,26711492.5,1075000,43,
11/6/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-212,1.3096,-27763.52,-0.10%,26711492.5,1075000,43,
11/6/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,523300,99.237213,519308.34,1.94%,26711492.5,1075000,43,
11/6/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,26913500,98.007789,26377326.29,98.75%,26711492.5,1075000,43,
11/6/2023,APRH,Cash&Other,Cash&Other,Cash & Other,10958.85,1,10958.85,0.04%,26711492.5,1075000,43,Y
11/6/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3540,6.4525,2284185,4.67%,48906135,1975000,79,
11/6/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3619,6.833,-2472862.7,-5.06%,48906135,1975000,79,
11/6/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-390,0.6963,-27155.7,-0.06%,48906135,1975000,79,
11/6/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,790800,99.237213,784767.88,1.60%,48906135,1975000,79,
11/6/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,49255800,98.007789,48274520.53,98.71%,48906135,1975000,79,
11/6/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,61639.29,1,61639.29,0.13%,48906135,1975000,79,Y
11/6/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3228,3.7816,1220700.48,3.66%,33318405,1350000,54,
11/6/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3282,3.9795,-1306071.9,-3.92%,33318405,1350000,54,
11/6/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-267,0.4175,-11147.25,-0.03%,33318405,1350000,54,
11/6/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,455500,99.237213,452025.51,1.36%,33318405,1350000,54,
11/6/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,33586200,98.007789,32917092.03,98.80%,33318405,1350000,54,
11/6/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,45101.67,1,45101.67,0.14%,33318405,1350000,54,Y
11/6/2023,BALT,4SPY  231229C00001070,4SPY  231229C00001070,SPY 12/29/2023 1.07 C,11462,431.7718,494896837.2,100.33%,493273440,17600000,704,
11/6/2023,BALT,4SPY  231229C00439490,4SPY  231229C00439490,SPY 12/29/2023 439.49 C,-11462,7.3872,-8467208.64,-1.72%,493273440,17600000,704,
11/6/2023,BALT,4SPY  231229P00341980,4SPY  231229P00341980,SPY 12/29/2023 341.98 P,-11462,0.3598,-412402.76,-0.08%,493273440,17600000,704,
11/6/2023,BALT,4SPY  231229P00427480,4SPY  231229P00427480,SPY 12/29/2023 427.48 P,11462,5.9909,6866769.58,1.39%,493273440,17600000,704,
11/6/2023,BALT,Cash&Other,Cash&Other,Cash & Other,380253.67,1,380253.67,0.08%,493273440,17600000,704,Y
11/6/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3657,427.5496,156354888.7,99.05%,157849955,4450000,178,
11/6/2023,BAPR,2SPY  240328C00491840,2SPY  240328C00491840,SPY 03/28/2024 491.84 C,-3657,0.9158,-334908.06,-0.21%,157849955,4450000,178,
11/6/2023,BAPR,2SPY  240328P00372540,2SPY  240328P00372540,SPY 03/28/2024 372.54 P,-3657,3.1111,-1137729.27,-0.72%,157849955,4450000,178,
