Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
11/07/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,195.00,23.708800,462321.60,5.71%,8099942.50,325000,13.000000000000,
11/07/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-208.00,25.888000,-538470.40,-6.65%,8099942.50,325000,13.000000000000,
11/07/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-65.00,2.608200,-16953.30,-0.21%,8099942.50,325000,13.000000000000,
11/07/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,185600.00,99.253771,184215.00,2.27%,8099942.50,325000,13.000000000000,
11/07/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,8164100.00,98.036875,8003828.51,98.81%,8099942.50,325000,13.000000000000,
11/07/2023,APRD,Cash&Other,Cash&Other,Cash & Other,4827.99,1.000000,4827.99,0.06%,8099942.50,325000,13.000000000000,Y
11/07/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1284.00,10.904100,1400086.44,5.24%,26738582.50,1075000,43.000000000000,
11/07/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1327.00,11.695800,-1552032.66,-5.80%,26738582.50,1075000,43.000000000000,
11/07/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-212.00,1.178500,-24984.20,-0.09%,26738582.50,1075000,43.000000000000,
11/07/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,523300.00,99.253771,519394.98,1.94%,26738582.50,1075000,43.000000000000,
11/07/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,26913500.00,98.036875,26385154.35,98.68%,26738582.50,1075000,43.000000000000,
11/07/2023,APRH,Cash&Other,Cash&Other,Cash & Other,10391.04,1.000000,10391.04,0.04%,26738582.50,1075000,43.000000000000,Y
11/07/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3540.00,5.854000,2072316.00,4.23%,48940697.50,1975000,79.000000000000,
11/07/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3619.00,6.196900,-2242658.11,-4.58%,48940697.50,1975000,79.000000000000,
11/07/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-390.00,0.626100,-24417.90,-0.05%,48940697.50,1975000,79.000000000000,
11/07/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,790800.00,99.253771,784898.82,1.60%,48940697.50,1975000,79.000000000000,
