Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/09/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,254.00,41.991700,1066589.18,10.19%,10467070.00,425000,17.000000000000,
10/09/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-271.00,45.442800,-1231499.88,-11.77%,10467070.00,425000,17.000000000000,
10/09/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-84.00,4.499700,-37797.48,-0.36%,10467070.00,425000,17.000000000000,
10/09/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,243000.00,98.832556,240163.11,2.29%,10467070.00,425000,17.000000000000,
10/09/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,10686300.00,97.583299,10428044.08,99.63%,10467070.00,425000,17.000000000000,
10/09/2023,APRD,Cash&Other,Cash&Other,Cash & Other,1345.80,1.000000,1345.80,0.01%,10467070.00,425000,17.000000000000,Y
10/09/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1346.00,20.100900,2705581.14,9.76%,27715500.00,1125000,45.000000000000,
10/09/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1391.00,21.549800,-2997577.18,-10.82%,27715500.00,1125000,45.000000000000,
10/09/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-223.00,2.124400,-47374.12,-0.17%,27715500.00,1125000,45.000000000000,
10/09/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,548000.00,98.832556,541602.41,1.95%,27715500.00,1125000,45.000000000000,
10/09/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,28184200.00,97.583299,27503072.16,99.23%,27715500.00,1125000,45.000000000000,
10/09/2023,APRH,Cash&Other,Cash&Other,Cash & Other,9600.38,1.000000,9600.38,0.03%,27715500.00,1125000,45.000000000000,Y
10/09/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3765.00,10.475300,3943950.45,7.64%,51643410.00,2100000,84.000000000000,
10/09/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3849.00,11.146000,-4290095.40,-8.31%,51643410.00,2100000,84.000000000000,
10/09/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-415.00,1.107000,-45940.50,-0.09%,51643410.00,2100000,84.000000000000,
10/09/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,841700.00,98.832556,831873.62,1.61%,51643410.00,2100000,84.000000000000,
10/09/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,52427700.00,97.583299,51160679.25,99.07%,51643410.00,2100000,84.000000000000,
10/09/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,41836.39,1.000000,41836.39,0.08%,51643410.00,2100000,84.000000000000,Y
10/09/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3768.00,5.714000,2153035.20,5.57%,38645932.50,1575000,63.000000000000,
10/09/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3831.00,6.068200,-2324727.42,-6.02%,38645932.50,1575000,63.000000000000,
10/09/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-312.00,0.622300,-19415.76,-0.05%,38645932.50,1575000,63.000000000000,
10/09/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,531800.00,98.832556,525591.53,1.36%,38645932.50,1575000,63.000000000000,
10/09/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,39208500.00,97.583299,38260947.79,99.00%,38645932.50,1575000,63.000000000000,
10/09/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,49675.94,1.000000,49675.94,0.13%,38645932.50,1575000,63.000000000000,Y
10/09/2023,BALT,4SPY  231229C00001070,4SPY  231229C00001070,SPY 12/29/2023 1.07 C,10848.00,426.473400,462638344.32,99.81%,463531005.00,16650000,666.000000000000,
10/09/2023,BALT,4SPY  231229C00439490,4SPY  231229C00439490,SPY 12/29/2023 439.49 C,-10848.00,9.209700,-9990682.56,-2.16%,463531005.00,16650000,666.000000000000,
10/09/2023,BALT,4SPY  231229P00341980,4SPY  231229P00341980,SPY 12/29/2023 341.98 P,-10848.00,0.865000,-938352.00,-0.20%,463531005.00,16650000,666.000000000000,
10/09/2023,BALT,4SPY  231229P00427480,4SPY  231229P00427480,SPY 12/29/2023 427.48 P,10848.00,10.529600,11422510.08,2.46%,463531005.00,16650000,666.000000000000,
10/09/2023,BALT,Cash&Other,Cash&Other,Cash & Other,390521.71,1.000000,390521.71,0.08%,463531005.00,16650000,666.000000000000,Y
10/09/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3577.00,422.330400,151067584.08,98.87%,152792445.00,4350000,174.000000000000,
10/09/2023,BAPR,2SPY  240328C00491840,2SPY  240328C00491840,SPY 03/28/2024 491.84 C,-3577.00,1.483200,-530540.64,-0.35%,152792445.00,4350000,174.000000000000,
10/09/2023,BAPR,2SPY  240328P00372540,2SPY  240328P00372540,SPY 03/28/2024 372.54 P,-3577.00,4.851300,-1735310.01,-1.14%,152792445.00,4350000,174.000000000000,
10/09/2023,BAPR,2SPY  240328P00409400,2SPY  240328P00409400,SPY 03/28/2024 409.4 P,3577.00,10.303400,3685526.18,2.41%,152792445.00,4350000,174.000000000000,
10/09/2023,BAPR,Cash&Other,Cash&Other,Cash & Other,301940.61,1.000000,301940.61,0.20%,152792445.00,4350000,174.000000000000,Y
10/09/2023,BAUG,2SPY  240731C00004590,2SPY  240731C00004590,SPY 07/31/2024 4.59 C,4319.00,420.419900,181579354.81,96.63%,187919112.50,5675000,227.000000000000,
10/09/2023,BAUG,2SPY  240731C00550950,2SPY  240731C00550950,SPY 07/31/2024 550.95 C,-4319.00,0.536600,-231757.54,-0.12%,187919112.50,5675000,227.000000000000,
10/09/2023,BAUG,2SPY  240731P00416590,2SPY  240731P00416590,SPY 07/31/2024 416.59 P,-4319.00,16.562900,-7153516.51,-3.81%,187919112.50,5675000,227.000000000000,
10/09/2023,BAUG,2SPY  240731P00457800,2SPY  240731P00457800,SPY 07/31/2024 457.8 P,4319.00,30.893700,13342989.03,7.10%,187919112.50,5675000,227.000000000000,
10/09/2023,BAUG,Cash&Other,Cash&Other,Cash & Other,378049.58,1.000000,378049.58,0.20%,187919112.50,5675000,227.000000000000,Y
10/09/2023,BDEC,2SPY  231130C00004090,2SPY  231130C00004090,SPY 11/30/2023 4.09 C,2294.00,425.490000,97607406.00,99.24%,98357560.00,2800000,112.000000000000,
10/09/2023,BDEC,2SPY  231130C00509600,2SPY  231130C00509600,SPY 11/30/2023 509.6 C,-2294.00,0.040000,-9176.00,-0.01%,98357560.00,2800000,112.000000000000,
10/09/2023,BDEC,2SPY  231130P00370990,2SPY  231130P00370990,SPY 11/30/2023 370.99 P,-2294.00,0.900000,-206460.00,-0.21%,98357560.00,2800000,112.000000000000,
10/09/2023,BDEC,2SPY  231130P00407690,2SPY  231130P00407690,SPY 11/30/2023 407.69 P,2294.00,3.350000,768490.00,0.78%,98357560.00,2800000,112.000000000000,
10/09/2023,BDEC,Cash&Other,Cash&Other,Cash & Other,195195.09,1.000000,195195.09,0.20%,98357560.00,2800000,112.000000000000,Y
10/09/2023,BFEB,2SPY  240131C00004080,2SPY  240131C00004080,SPY 01/31/2024 4.08 C,2309.00,423.656400,97822262.76,99.01%,98797860.00,2950000,118.000000000000,
10/09/2023,BFEB,2SPY  240131C00485660,2SPY  240131C00485660,SPY 01/31/2024 485.66 C,-2309.00,0.735100,-169734.59,-0.17%,98797860.00,2950000,118.000000000000,
