Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/27/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,195.00,60.078100,1171522.95,14.74%,7946250.00,325000,13.000000000000,
10/27/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-208.00,65.500700,-1362414.56,-17.15%,7946250.00,325000,13.000000000000,
10/27/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-65.00,6.496700,-42228.55,-0.53%,7946250.00,325000,13.000000000000,
10/27/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,185600.00,99.086792,183905.09,2.31%,7946250.00,325000,13.000000000000,
10/27/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,8164100.00,97.850218,7988589.65,100.53%,7946250.00,325000,13.000000000000,
10/27/2023,APRD,Cash&Other,Cash&Other,Cash & Other,6364.50,1.000000,6364.50,0.08%,7946250.00,325000,13.000000000000,Y
10/27/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1286.00,26.850400,3452961.44,13.07%,26416620.00,1075000,43.000000000000,
10/27/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1329.00,28.939200,-3846019.68,-14.56%,26416620.00,1075000,43.000000000000,
10/27/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-213.00,2.882500,-61397.25,-0.23%,26416620.00,1075000,43.000000000000,
10/27/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,523300.00,99.086792,518521.18,1.96%,26416620.00,1075000,43.000000000000,
10/27/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,26913500.00,97.850218,26334918.42,99.69%,26416620.00,1075000,43.000000000000,
10/27/2023,APRH,Cash&Other,Cash&Other,Cash & Other,15934.33,1.000000,15934.33,0.06%,26416620.00,1075000,43.000000000000,Y
10/27/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3675.00,13.547400,4978669.50,9.88%,50411960.00,2050000,82.000000000000,
10/27/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3757.00,14.440100,-5425145.57,-10.76%,50411960.00,2050000,82.000000000000,
10/27/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-405.00,1.420400,-57526.20,-0.11%,50411960.00,2050000,82.000000000000,
10/27/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,820900.00,99.086792,813403.48,1.61%,50411960.00,2050000,82.000000000000,
10/27/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,51134000.00,97.850218,50034730.47,99.25%,50411960.00,2050000,82.000000000000,
10/27/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,64596.85,1.000000,64596.85,0.13%,50411960.00,2050000,82.000000000000,Y
10/27/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3408.00,7.429600,2532007.68,7.23%,35004127.50,1425000,57.000000000000,
10/27/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3465.00,7.870100,-2726989.65,-7.79%,35004127.50,1425000,57.000000000000,
10/27/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-282.00,0.787700,-22213.14,-0.06%,35004127.50,1425000,57.000000000000,
10/27/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,480900.00,99.086792,476508.38,1.36%,35004127.50,1425000,57.000000000000,
10/27/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,35459000.00,97.850218,34696708.80,99.12%,35004127.50,1425000,57.000000000000,
10/27/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,45861.73,1.000000,45861.73,0.13%,35004127.50,1425000,57.000000000000,Y
10/27/2023,BALT,4SPY  231229C00001070,4SPY  231229C00001070,SPY 12/29/2023 1.07 C,11397.00,409.500000,466707150.00,96.33%,484501500.00,17500000,700.000000000000,
10/27/2023,BALT,4SPY  231229C00439490,4SPY  231229C00439490,SPY 12/29/2023 439.49 C,-11397.00,2.360000,-2689692.00,-0.56%,484501500.00,17500000,700.000000000000,
10/27/2023,BALT,4SPY  231229P00341980,4SPY  231229P00341980,SPY 12/29/2023 341.98 P,-11397.00,1.130000,-1287861.00,-0.27%,484501500.00,17500000,700.000000000000,
10/27/2023,BALT,4SPY  231229P00427480,4SPY  231229P00427480,SPY 12/29/2023 427.48 P,11397.00,18.690000,21300993.00,4.40%,484501500.00,17500000,700.000000000000,
10/27/2023,BALT,Cash&Other,Cash&Other,Cash & Other,444941.03,1.000000,444941.03,0.09%,484501500.00,17500000,700.000000000000,Y
10/27/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3617.00,405.296700,146595816.39,97.87%,149787880.00,4400000,176.000000000000,
