Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
10/25/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,195.00,45.055000,878572.50,10.97%,8006115.00,325000,13.000000000000,
10/25/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-208.00,48.917400,-1017481.92,-12.71%,8006115.00,325000,13.000000000000,
10/25/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-65.00,4.969800,-32303.70,-0.40%,8006115.00,325000,13.000000000000,
10/25/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,185600.00,99.058519,183852.61,2.30%,8006115.00,325000,13.000000000000,
10/25/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,8164100.00,97.821625,7986255.29,99.75%,8006115.00,325000,13.000000000000,
10/25/2023,APRD,Cash&Other,Cash&Other,Cash & Other,7048.61,1.000000,7048.61,0.09%,8006115.00,325000,13.000000000000,Y
10/25/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1286.00,21.192100,2725304.06,10.28%,26520357.50,1075000,43.000000000000,
10/25/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1329.00,22.724200,-3020046.18,-11.39%,26520357.50,1075000,43.000000000000,
10/25/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-213.00,2.313800,-49283.94,-0.19%,26520357.50,1075000,43.000000000000,
10/25/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,523300.00,99.058519,518373.23,1.95%,26520357.50,1075000,43.000000000000,
10/25/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,26913500.00,97.821625,26327223.04,99.27%,26520357.50,1075000,43.000000000000,
10/25/2023,APRH,Cash&Other,Cash&Other,Cash & Other,18217.81,1.000000,18217.81,0.07%,26520357.50,1075000,43.000000000000,Y
10/25/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3675.00,11.760000,4321800.00,8.57%,50402120.00,2050000,82.000000000000,
10/25/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3757.00,12.700000,-4771390.00,-9.47%,50402120.00,2050000,82.000000000000,
